_PaymentID_,_CustomerId_,_ProductId_,_TransactionDate_,_CreditCard_,_CreditCardNumber_,Price,ProductName,CompanyName
3423609,991,10016,2013-01-30T04:16:24,visaelectron,4508 7346 2588 9517,491.71,Dremel 7700-1/15 7.2-volt Multipro Cordless Rotary Kit With 15 Accessories,Nustar Energy
3423610,775,10041,2013-01-02T09:09:38,instapayment,6386 7466 0513 5812,352.89,Numax 18 Gauge 2 In 1 Brad Nailer & Stapler,At&t
3423611,234,10310,2013-01-07T12:21:58,visa,4065 0734 3303 7224,583.19,Pro-lift W-1010a 10-gallon Air Tank,Baker Hughesorporated
3423613,621,10248,2013-01-04T12:52:21,mastercard,5582 0698 7744 9116,583.94,Campbell Hausfeld 8gal Oil Free Air Compressor,The Impac Companies
3423614,730,10279,2013-01-24T08:08:53,amex,3750 5967 8390 579,674.76,Lumberjack Tools Trh2000 2in Home Series Tenon Cutter,Omnicom Group
3423615,491,10123,2013-01-16T12:17:21,visa,4119 3823 5830 5839,520.95,Hitachi 4 Gallon Twin Stack Air Compressor,The Scotts Miracle-gro Company
3423619,140,10328,2013-01-27T05:19:23,visaelectron,4508 7757 6391 1415,784.71,Kawasaki Composite Air Hammer Kit,Freeport-mcmoran Copper & Gold
3423621,270,10107,2013-01-03T09:08:16,visaelectron,4508 3402 6778 1218,857.22,"Campbell Hausfeld 1-1/4"" Brad Nails",Fossil
3423622,190,10001,2013-01-27T10:27:22,visaelectron,4508 6447 4455 0751,661.87,"Great Neck Saw Ra38 3/8"" Drive Forward And Reverse Ratchet",Wesco Distribution
3423623,821,10006,2013-01-24T09:13:16,instapayment,6399 3624 0807 9994,168.24,Surebonder Ultra-mini Dual Temperature Glue Gun,General Electric Capital Corporation
3423624,575,10008,2013-01-12T02:34:29,amex,3415 1828 8497 158,552.09,Retractable Screw-holder With Magnetic Tip,Cablevision Systems Corp
3423625,229,10119,2013-01-08T09:28:51,amex,3730 3302 5031 840,491.2,Mayhew Tools Mayhew Tools - Catspaw Deck Wrecker Cats Paw Deck Wrecker: 479-41104 - Cats Paw Deck Wr,Henry Schein
3423627,59,10166,2013-01-23T03:46:47,visa,4745 9376 0691 4005,370.52,Rockwell Rk3440k Versacut Circular Saw Kit,Zale Corporation
3423628,365,10164,2013-01-09T06:45:54,mastercard,5451 3540 4330 6988,545.9,Wagner Ht1000 Heat Tool,Vwr International
3423629,777,10188,2013-01-27T11:25:25,instapayment,6390 8716 5826 9492,24.98,Black & Decker 12-volt Cordless Air Station Inflator,Pc Connection
3423630,838,10335,2013-01-06T07:29:54,visaelectron,4913 9804 6944 5036,395.05,"Hitachi 3/8"" 6 Amp Drill With Keyless Chuck",Kbr
3423631,504,10147,2013-01-12T02:09:51,maestro,5018 3638 7468 3312,676.05,Black & Decker 7.5-amp Reciprocating Saw,Seaboard Foods
